DATAFLOW,SPECIFICATION: Spécification,FREQ: Fréquence,TIME_PERIOD: Période,OBS_VALUE,NOTE_YEAR_2: Note année 2,NOTE_YEAR_1: Note année 1,NOTE_SPECIFICATION_2: Note spécification 2,NOTE_SPECIFICATION_1: Note spécification 1,OBS_STATUS: Statut d'observation,DECIMALS: Décimales
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2022-07,4.69424108961189,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2022-08,5.14643999967532,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2022-09,5.16308106260117,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2022-10,5.07341986598711,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2022-11,4.88613164332665,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2022-12,4.59240447648608,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2023-01,4.78979754677535,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2023-02,4.79201787901811,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2023-03,4.65057485813611,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2023-04,4.90910683740975,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2023-05,4.80219905474399,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2023-06,4.68149800956408,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2023-07,4.85915576191784,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2023-08,4.52682849204806,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2023-09,4.3159946086355,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2023-10,4.18112512811855,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2023-11,3.87276576068425,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2023-12,4.0130664655263,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2024-01,3.97782678143341,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2024-02,3.3803043289774,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2024-03,3.2499270918545,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),SL05: Inflation sous-jacente,M: Mensuelle,2024-04,2.38812549145289,,,"SL05: Définitions : Inflation, Inflation sous-jacente",,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2020-01,16.0117650666,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2020-02,-2.53031654571546,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2020-03,-32.1804618706808,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2020-04,-50.0292741159864,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2020-05,-0.264390413747351,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2020-06,-4.10422921616868,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2020-07,2.50777628896373,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2020-08,-11.573410331461,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2020-09,-3.91227241487307,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2020-10,-7.03196905621093,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2020-11,-3.79413773027583,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2020-12,-9.3258807257982,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2021-01,-6.10522334781559,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2021-02,-3.20921631864053,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2021-03,47.4473643324403,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2021-04,94.597423559206,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2021-05,2.06669183317221,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2021-06,0.304228277969698,,,SL02: Définitions : Production dans la construction,,,1: Un
LU1:DF_E1100(1.0),"SL02: Production dans la construction par jour ouvrable, en volume",M: Mensuelle,2021-07,-2.40793188193352,,,SL02: Définitions : Production dans la construction,,,1: Un
